001	01-language-design	基础	为什么 Go 适合后端？它为简单性付出了什么代价？	go-design
002	01-language-design	基础	零值为什么重要？如何设计零值可用的类型？	zero-values
003	01-language-design	基础	Go 只有值传递，为什么修改切片却会影响调用者？	value-semantics
004	01-language-design	基础	组合与嵌入如何替代继承？	composition
005	01-language-design	基础	接口为什么隐式实现？应该由谁定义？	interfaces
006	01-language-design	中级	泛型、接口与代码生成应该如何选择？	generics
007	01-language-design	基础	error、panic、recover 分别解决什么问题？	errors
008	01-language-design	中级	defer 的求值、执行顺序与资源释放有什么陷阱？	defer
009	01-language-design	中级	包如何划分？怎样避免循环依赖和万能 utils？	packages
010	01-language-design	中级	Go Modules、版本选择与可复现构建如何工作？	modules
011	02-types-memory	基础	数组和切片有什么区别？append 为什么需要接收返回值？	slices
012	02-types-memory	中级	切片截取为何可能造成内存滞留？如何控制共享？	slice-retention
013	02-types-memory	基础	string、byte、rune 如何选择？怎样正确截取中文？	strings
014	02-types-memory	基础	map 的零值、遍历和并发使用有哪些边界？	maps
015	02-types-memory	中级	接口里的 nil 为什么不等于 nil？	typed-nil
016	02-types-memory	中级	值接收者与指针接收者如何影响方法集？	method-sets
017	02-types-memory	中级	逃逸分析如何决定栈与堆分配？	escape-analysis
018	02-types-memory	高级	结构体布局、内存对齐与伪共享如何影响性能？	memory-layout
019	02-types-memory	中级	反射适合哪些边界？为什么业务热路径要谨慎？	reflection
020	02-types-memory	中级	unsafe 和零拷贝转换的收益与风险是什么？	unsafe
021	03-concurrency	基础	并发与并行有什么区别？goroutine 为什么不是线程？	concurrency
022	03-concurrency	基础	channel 的发送、接收和关闭由谁负责？	channels
023	03-concurrency	中级	select 如何实现取消？为什么 default 可能造成忙等？	select
024	03-concurrency	基础	Mutex 和 RWMutex 如何选？为什么不能复制锁？	mutex
025	03-concurrency	中级	原子操作能否替代互斥锁？什么是 happens-before？	atomics
026	03-concurrency	基础	context 如何传递超时、取消和请求信息？	context
027	03-concurrency	中级	WaitGroup 与 errgroup 如何管理一组并发任务？	task-groups
028	03-concurrency	中级	如何设计有界 worker pool 和背压？	worker-pool
029	03-concurrency	高级	如何定位 goroutine 泄漏和死锁？	leaks
030	03-concurrency	高级	代码 Review：怎样修复并发聚合中的竞态与取消问题？	concurrency-review
031	04-runtime-performance	中级	G、M、P 分别是什么？调度器如何分配执行机会？	scheduler
032	04-runtime-performance	中级	Go GC 如何工作？为什么低停顿不等于没有成本？	gc
033	04-runtime-performance	高级	GOGC 与 GOMEMLIMIT 如何共同影响吞吐和内存？	gc-tuning
034	04-runtime-performance	中级	sync.Pool 为什么不能用作连接池或持久缓存？	sync-pool
035	04-runtime-performance	中级	如何用 benchmark 测量性能而不是测量噪声？	benchmarks
036	04-runtime-performance	高级	CPU、堆和阻塞 profile 分别回答什么问题？	pprof
037	04-runtime-performance	高级	如何用 execution trace 定位调度与延迟问题？	trace
038	04-runtime-performance	中级	怎样减少分配、拷贝和无效格式化？	allocations
039	04-runtime-performance	高级	QPS、并发数与延迟如何做容量估算？	capacity
040	04-runtime-performance	高级	场景题：CPU 不高但 P99 激增，如何排查？	tail-latency
041	05-backend-api	基础	一次 HTTP 请求在 Go 服务中经历哪些阶段？	http-lifecycle
042	05-backend-api	中级	HTTP 服务端与客户端超时应该如何配置？	http-timeouts
043	05-backend-api	基础	中间件的执行顺序如何影响日志、鉴权和恢复？	middleware
044	05-backend-api	基础	REST API 如何设计资源、状态码与分页？	rest
